"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C
800	1.0174974	0.9850189	0.1867131	1.0622142	0.0100660
850	1.0068259	1.0245017	0.1355377	1.0367986	0.0083140
900	1.0608672	1.0027132	0.1614898	1.0445279	0.0046265
950	0.9854135	1.0153942	0.1142318	0.9503139	0.0177983
1000	1.0274459	1.0124728	0.1169624	0.9953948	0.0147724

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	1.0035390	1.0415170	0.1038887	0.9691211	0.0148879
100	0.9874841	1.1628928	0.1404737	0.9538477	0.0167201
150	1.0651723	1.1037371	0.1513170	0.9237700	0.0235561
200	0.9567995	0.9689281	0.1263462	0.8966103	0.0175118
250	0.8271993	0.9841845	0.1469785	0.9586625	0.0252262
300	0.9792603	1.0336798	0.1588243	1.0291082	0.0186743
350	0.9279631	0.9793439	0.1282000	1.0713126	0.0111930
400	1.0488723	1.1120683	0.1223324	1.0408153	0.0068342
450	1.0003254	1.0336873	0.1062211	1.0095022	0.0200630
500	0.9999863	0.9520198	0.1314529	1.0019650	0.0179143
550	0.9246360	1.0061655	0.1598058	0.9858952	0.0152975
600	0.9168954	1.0474472	0.1387826	0.9809457	0.0149486
650	1.1226430	1.0313393	0.1337620	1.0153875	0.0116954
700	1.0679499	0.9863838	0.1709531	0.9556522	0.0087012
750	0.9645510	1.0184557	0.1422840	1.1440261	0.0249106
800	1.0767762	0.9588349	0.1491550	1.0301995	0.0117192
850	1.0436089	0.9503791	0.1385397	1.0515122	0.0102281
900	0.9922758	1.0006322	0.1218369	0.9605047	0.0099881
950	1.0857242	0.9814494	0.1321967	0.9298281	0.0055418
1000	1.0101537	1.0250385	0.1035044	0.9684594	0.0071881
