"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C
500	0.7547522	0.9987153	0.2678497	0.9999951	0.0000217
550	0.9240948	0.9989875	0.2502467	0.9999961	0.0094928
600	0.9765070	0.9993952	0.2089861	0.9999976	0.0121482
650	0.9927288	0.9995995	0.1755129	0.9999983	0.0128699
700	0.9977495	0.9996806	0.1551784	0.9999986	0.0130603
750	0.9993035	0.9997106	0.1442462	0.9999987	0.0131083
800	0.9997844	0.9997213	0.1387504	0.9999987	0.0131195
850	0.9999333	0.9997251	0.1361014	0.9999987	0.0131218
900	0.9999793	0.9997264	0.1348600	0.9999987	0.0131222
950	0.9999936	0.9997268	0.1342893	0.9999987	0.0131222
1000	0.9999980	0.9997269	0.1340306	0.9999987	0.0131221

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9997270	0.0840327	0.9999987	0.0040240
100	1.0000000	0.9997270	0.0621784	0.9999987	0.0012998
150	1.0000000	0.9997270	0.0525894	0.9999987	0.0004841
200	1.0000000	0.9997270	0.0483821	0.9999987	0.0002399
250	1.0000000	0.9997270	0.0465360	0.9999987	0.0001667
300	1.0000000	0.9997270	0.0457260	0.9999987	0.0001448
350	1.0000000	0.9997270	0.0453706	0.9999987	0.0001383
400	1.0000000	0.9997270	0.0452147	0.9999987	0.0001363
450	1.0000000	0.9997270	0.0451462	0.9999987	0.0001357
500	1.0000000	0.9997270	0.0451162	0.9999987	0.0001356
550	1.0000000	0.9997270	0.0949001	0.9999987	0.0092337
600	1.0000000	0.9997270	0.1167438	0.9999987	0.0119578
650	1.0000000	0.9997270	0.1263281	0.9999987	0.0127735
700	1.0000000	0.9997270	0.1305335	0.9999987	0.0130177
750	1.0000000	0.9997270	0.1323787	0.9999987	0.0130908
800	1.0000000	0.9997270	0.1331883	0.9999987	0.0131127
850	1.0000000	0.9997270	0.1335435	0.9999987	0.0131193
900	1.0000000	0.9997270	0.1336994	0.9999987	0.0131213
950	1.0000000	0.9997270	0.1337678	0.9999987	0.0131218
1000	1.0000000	0.9997270	0.1337978	0.9999987	0.0131220

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9997270	0.1338297	0.9999987	0.0131221
100	1.0000000	0.9997270	0.1338250	0.9999987	0.0131221
150	1.0000000	0.9997270	0.1338229	0.9999987	0.0131221
200	1.0000000	0.9997270	0.1338219	0.9999987	0.0131221
250	1.0000000	0.9997270	0.1338215	0.9999987	0.0131221
300	1.0000000	0.9997270	0.1338214	0.9999987	0.0131221
350	1.0000000	0.9997270	0.1338213	0.9999987	0.0131221
400	1.0000000	0.9997270	0.1338213	0.9999987	0.0131221
450	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
500	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
550	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
600	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
650	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
700	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
750	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
800	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
850	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
900	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
950	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
1000	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9997270	0.1338297	0.9999987	0.0131221
100	1.0000000	0.9997270	0.1338250	0.9999987	0.0131221
150	1.0000000	0.9997270	0.1338229	0.9999987	0.0131221
200	1.0000000	0.9997270	0.1338219	0.9999987	0.0131221
250	1.0000000	0.9997270	0.1338215	0.9999987	0.0131221
300	1.0000000	0.9997270	0.1338214	0.9999987	0.0131221
350	1.0000000	0.9997270	0.1338213	0.9999987	0.0131221
400	1.0000000	0.9997270	0.1338213	0.9999987	0.0131221
450	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
500	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
550	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
600	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
650	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
700	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
750	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
800	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
850	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
900	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
950	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
1000	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
